FID,SoilSeries,SoilCode,Texture,Order,SubGroup,Centroid_Lon,Centroid_Lat,Depth_cm,Sand_pct,Silt_pct,Clay_pct,OrganicC_pct,pH,EC_dS_m,BulkDensity_g_cm3,FieldCapacity_vv,WiltingPoint_vv,Saturation_vv,PAW_vv,PAW_mm_profile
0,Bisalahalli,114,Loamy Sand,Entisols,Lithic Ustorthents,76.67847,12.68752,28.0,78.0,10.0,12.0,0.28,5.5,0.01,1.597,0.134,0.072,0.397,0.061,17.2
1,Chittanahalli,172,Sandy Clay,Alfisols,Typic Rhodustalfs,76.70122,12.5419,69.0,48.4,9.5,42.0,0.6,7.7,0.11,1.493,0.368,0.255,0.437,0.113,77.8
2,Chittanahalli,172,Sandy Clay,Alfisols,Typic Rhodustalfs,76.70122,12.5419,69.0,47.6,10.2,39.8,0.54,7.68,0.08,1.501,0.354,0.241,0.434,0.113,78.2
3,Chittanahalli,172,Clay,Alfisols,Typic Rhodustalfs,76.70122,12.5419,69.0,42.8,6.8,47.5,0.48,7.54,0.1,1.447,0.403,0.285,0.454,0.118,81.4
4,Roppam,616,Sandy Loam,Entisols,Typic Ustifluvents,76.79637,12.67328,145.0,71.3,9.6,19.1,0.41,7.8,0.4,1.601,0.192,0.118,0.396,0.074,107.1
5,Roppam,616,Sandy Loam,Entisols,Typic Ustifluvents,76.79637,12.67328,145.0,71.3,10.4,18.3,0.75,6.6,0.1,1.57,0.195,0.118,0.408,0.076,110.7
6,Roppam,616,Sandy Clay Loam,Entisols,Typic Ustifluvents,76.79637,12.67328,145.0,72.2,6.3,21.5,0.26,8.4,0.5,1.617,0.202,0.13,0.39,0.071,103.6
7,Roppam,616,Sandy Clay Loam,Entisols,Typic Ustifluvents,76.79637,12.67328,145.0,64.6,8.4,27.0,0.41,8.8,0.22,1.592,0.252,0.166,0.399,0.087,125.8
8,Roppam,616,Sandy Loam,Entisols,Typic Ustifluvents,76.79637,12.67328,145.0,71.7,8.9,19.4,0.29,8.5,0.2,1.612,0.191,0.118,0.392,0.072,104.8
9,Ballasamudra,54,Sandy Loam,Alfisols,Typic Haplustalfs,76.78169,12.60366,67.0,74.1,7.5,18.0,0.45,6.6,0.12,1.598,0.181,0.112,0.397,0.069,46.2
10,Ballasamudra,54,Sandy Clay Loam,Alfisols,Typic Haplustalfs,76.78169,12.60366,67.0,59.2,6.2,34.2,0.4,6.0,0.15,1.566,0.306,0.209,0.409,0.097,65.2
11,Ballasamudra,54,Clay,Alfisols,Typic Haplustalfs,76.78169,12.60366,67.0,38.3,11.2,50.2,0.24,6.4,0.06,1.414,0.421,0.299,0.466,0.121,81.2
12,Kalkunte,375,Sandy Clay Loam,Inceptisols,Typic Haplustepts,76.83922,12.64816,100.0,63.8,10.5,25.8,0.88,6.4,0.13,1.556,0.255,0.164,0.413,0.091,91.0
13,Kalkunte,375,Sandy Clay Loam,Inceptisols,Typic Haplustepts,76.83922,12.64816,100.0,65.5,6.0,28.5,0.59,6.5,0.11,1.582,0.263,0.177,0.403,0.087,86.9
14,Kalkunte,375,Sandy Clay Loam,Inceptisols,Typic Haplustepts,76.83922,12.64816,100.0,61.2,9.2,29.5,0.73,7.3,0.2,1.56,0.278,0.184,0.411,0.095,94.6
15,Kalkunte,375,Sandy Clay Loam,Inceptisols,Typic Haplustepts,76.83922,12.64816,100.0,61.8,9.8,28.5,0.43,7.9,0.19,1.582,0.267,0.175,0.403,0.092,91.8
16,Hullikere,312,Loamy Sand,Entisols,Typic Ustifluvents,76.77727,12.71009,100.0,85.0,5.8,9.0,0.6,7.24,0.52,1.546,0.11,0.059,0.417,0.051,51.0
17,Hullikere,312,Sandy Clay Loam,Entisols,Typic Ustifluvents,76.77727,12.71009,100.0,61.0,9.0,29.2,0.75,6.8,0.44,1.558,0.278,0.183,0.412,0.095,95.0
18,Hullikere,312,Sandy Clay Loam,Entisols,Typic Ustifluvents,76.77727,12.71009,100.0,61.0,12.2,26.5,0.8,6.72,0.59,1.555,0.262,0.167,0.413,0.095,95.1
19,Hullikere,312,Sandy Clay Loam,Entisols,Typic Ustifluvents,76.77727,12.71009,100.0,65.0,10.0,25.5,0.6,7.19,0.54,1.58,0.246,0.159,0.404,0.087,87.0
20,Hullikere,312,Loamy Sand,Entisols,Typic Ustifluvents,76.77727,12.71009,100.0,83.0,6.0,10.2,0.4,7.24,0.3,1.574,0.116,0.063,0.406,0.053,53.1
21,Sankihalli,634,Sandy Loam,Entisols,Lithic Ustorthents,76.85132,12.5498,10.0,65.7,16.3,18.0,0.42,7.0,1.74,1.593,0.197,0.112,0.399,0.085,8.5
22,Enugadale,205,Loamy Sand,Inceptisols,Typic Haplustepts,76.85269,12.59002,40.0,82.0,7.0,11.0,0.33,6.5,0.06,1.585,0.121,0.067,0.402,0.054,21.7
23,Enugadale,205,Clay,Inceptisols,Typic Haplustepts,76.85269,12.59002,40.0,42.0,18.0,40.0,0.3,5.7,0.04,1.488,0.36,0.241,0.438,0.119,47.6
24,Gumballi,243,Sandy Clay Loam,Inceptisols,Lithic Haplargids,77.23939,12.33757,32.0,45.4,18.4,35.0,1.23,6.82,0.05,1.467,0.338,0.219,0.446,0.119,38.1
25,Gumballi,243,Sandy Clay Loam,Inceptisols,Lithic Haplargids,77.23939,12.33757,32.0,46.2,10.2,41.5,0.45,6.67,0.06,1.491,0.365,0.251,0.437,0.115,36.7
26,Hanukanahalli,269,Clay,Inceptisols,Typic Haplustepts,76.67584,12.62035,35.0,43.0,14.0,43.0,0.88,7.1,0.2,1.457,0.379,0.261,0.45,0.118,41.3
27,Hanukanahalli,269,Clay,Inceptisols,Typic Haplustepts,76.67584,12.62035,35.0,39.0,16.0,45.0,0.91,7.4,0.2,1.431,0.392,0.272,0.46,0.12,42.2
28,Manchalaghatta,502,Sandy Clay Loam,Entisols,Lithic Ustorthents,76.6778,12.69223,23.0,61.0,10.6,28.2,0.43,6.16,0.15,1.581,0.266,0.173,0.403,0.093,21.4
29,Manchalaghatta,502,Sandy Clay Loam,Entisols,Lithic Ustorthents,76.6778,12.69223,23.0,58.0,8.5,32.5,0.59,6.19,0.12,1.556,0.299,0.2,0.413,0.099,22.8
30,Aisandra,7,Sandy Clay Loam,Entisols,Lithic Ustorthents,76.73827,12.63454,25.0,17.1,9.2,20.7,0.15,6.4,0.01,1.547,0.308,0.13,0.416,0.179,44.7
31,Aisandra,7,Sandy Clay Loam,Entisols,Lithic Ustorthents,76.73827,12.63454,25.0,69.0,8.8,22.2,0.01,6.2,0.1,1.633,0.207,0.132,0.384,0.076,18.9
32,Chikkonahalli,163,Sandy Loam,Inceptisols,Typic Haplustepts,76.9555,12.54469,27.0,70.2,10.1,18.8,0.2,6.65,0.08,1.618,0.188,0.113,0.39,0.074,20.1
33,Chikkonahalli,163,Loamy Sand,Inceptisols,Typic Haplustepts,76.9555,12.54469,27.0,76.5,14.9,10.2,0.6,6.18,0.16,1.558,0.135,0.067,0.412,0.067,18.1
34,Chikkonahalli,163,Sandy Loam,Inceptisols,Typic Haplustepts,76.9555,12.54469,27.0,71.3,12.9,15.8,0.6,6.08,0.1,1.577,0.176,0.101,0.405,0.076,20.4
35,Hanumapura,270,Sandy Loam,Aridisols,Ustic Haplocambids,76.80213,12.60633,36.0,75.9,4.0,20.1,0.16,8.22,0.18,1.627,0.184,0.12,0.386,0.064,23.0
36,Hanumapura,270,Sandy Clay Loam,Aridisols,Ustic Haplocambids,76.80213,12.60633,36.0,74.2,4.2,21.5,0.08,8.45,0.18,1.633,0.195,0.128,0.384,0.067,24.0
37,Hanumapura,270,Sandy Clay Loam,Aridisols,Ustic Haplocambids,76.80213,12.60633,36.0,71.5,4.5,24.0,0.04,8.85,0.19,1.633,0.215,0.143,0.384,0.072,25.9
38,Hutagalli,319,Sandy Loam,Alfisols,Typic Rhodustalfs,76.48291,12.56879,65.0,83.3,4.2,12.2,0.39,6.7,0.14,1.584,0.126,0.074,0.402,0.052,33.7
39,Hutagalli,319,Sandy Clay,Alfisols,Typic Rhodustalfs,76.48291,12.56879,65.0,53.2,12.2,34.3,0.21,6.6,0.12,1.557,0.312,0.207,0.412,0.105,68.1
40,Hutagalli,319,Clay,Alfisols,Typic Rhodustalfs,76.48291,12.56879,65.0,41.0,8.2,57.4,0.27,6.7,0.14,1.378,0.463,0.342,0.48,0.122,79.2
41,Kenchayanadoddi,423,Sandy Clay Loam,Alfisols,Typic Rhodustalfs,77.30645,12.30176,65.0,70.1,2.0,26.0,0.15,6.62,0.18,1.622,0.232,0.156,0.388,0.076,49.3
42,Kenchayanadoddi,423,Sandy Clay Loam,Alfisols,Typic Rhodustalfs,77.30645,12.30176,65.0,64.2,5.2,29.0,0.09,6.68,0.08,1.609,0.26,0.174,0.393,0.086,56.1
43,Kenchayanadoddi,423,Sandy Clay Loam,Alfisols,Typic Rhodustalfs,77.30645,12.30176,65.0,60.2,5.2,33.5,0.12,6.67,0.11,1.586,0.296,0.202,0.402,0.094,61.3
44,Muddapura,531,Sandy Loam,Alfisols,Typic Haplustalfs,76.82336,12.60036,56.0,75.0,10.0,15.0,0.68,6.5,0.43,1.569,0.166,0.097,0.408,0.069,38.7
45,Muddapura,531,Sandy Clay Loam,Alfisols,Typic Haplustalfs,76.82336,12.60036,56.0,62.5,7.5,30.0,0.52,6.6,0.07,1.577,0.276,0.185,0.405,0.092,51.3
46,Muddapura,531,Clay Loam,Alfisols,Typic Haplustalfs,76.82336,12.60036,56.0,42.5,22.5,35.0,0.2,6.8,0.11,1.521,0.33,0.211,0.426,0.119,66.7
47,Srinivasapur,674,Clay,Inceptisols,Aquic Haplustepts,76.62739,12.71305,112.0,35.3,8.6,56.1,1.1,7.6,0.04,1.37,0.45,0.334,0.483,0.116,130.2
48,Srinivasapur,674,Clay,Inceptisols,Aquic Haplustepts,76.62739,12.71305,112.0,29.8,12.6,57.6,0.7,7.8,0.04,1.328,0.459,0.34,0.499,0.118,132.5
49,Srinivasapur,674,Clay,Inceptisols,Aquic Haplustepts,76.62739,12.71305,112.0,23.8,13.6,62.6,0.2,8.0,0.04,1.25,0.486,0.368,0.528,0.119,133.2
50,Vadesamudra,722,Sandy Loam,Inceptisols,Typic Haplustepts,76.74576,12.69891,60.0,68.2,8.5,13.2,0.91,6.66,0.37,1.536,0.176,0.091,0.42,0.085,51.0
51,Vadesamudra,722,Sandy Clay Loam,Inceptisols,Typic Haplustepts,76.74576,12.69891,60.0,64.2,12.2,23.5,0.8,6.59,0.22,1.562,0.239,0.15,0.411,0.089,53.7
52,Vadesamudra,722,Sandy Clay Loam,Inceptisols,Typic Haplustepts,76.74576,12.69891,60.0,63.0,9.0,28.0,0.7,6.78,0.18,1.568,0.266,0.175,0.408,0.091,54.8
53,Channarayapatna,143,Sandy Loam,Inceptisols,Typic Haplustepts,76.9301,12.37857,160.0,77.0,6.0,17.0,1.4,5.8,0.18,1.516,0.19,0.12,0.428,0.071,112.9
54,Channarayapatna,143,Sandy Clay Loam,Inceptisols,Typic Haplustepts,76.9301,12.37857,160.0,75.0,1.0,24.0,0.4,5.7,0.18,1.613,0.216,0.147,0.391,0.068,109.3
55,Channarayapatna,143,Sandy Clay Loam,Inceptisols,Typic Haplustepts,76.9301,12.37857,160.0,66.0,7.0,27.0,0.4,5.6,0.15,1.596,0.25,0.166,0.398,0.084,135.1
56,Channarayapatna,143,Sandy Clay,Inceptisols,Typic Haplustepts,76.9301,12.37857,160.0,61.0,2.0,37.0,0.2,6.7,0.15,1.573,0.319,0.223,0.407,0.096,153.4
57,Bachahalli,41,Sandy Loam,Inceptisols,Typic Haplustepts,76.78899,12.58611,102.0,76.1,5.8,17.5,0.74,7.46,0.36,1.574,0.18,0.113,0.406,0.067,68.7
58,Bachahalli,41,Sandy Clay,Inceptisols,Typic Haplustepts,76.78899,12.58611,102.0,54.5,3.8,41.8,0.12,6.46,0.22,1.533,0.357,0.251,0.422,0.106,108.3
59,Bachahalli,41,Sandy Clay Loam,Inceptisols,Typic Haplustepts,76.78899,12.58611,102.0,67.2,4.2,28.5,0.17,7.15,0.23,1.612,0.254,0.172,0.392,0.082,83.3
60,Bachahalli,41,Sandy Clay,Inceptisols,Typic Haplustepts,76.78899,12.58611,102.0,58.0,5.8,36.2,0.43,6.07,0.18,1.555,0.32,0.221,0.413,0.1,101.9
61,Kestur,425,Sandy Clay Loam,Alfisols,Typic Paleustalfs,77.04995,12.58607,80.0,88.7,4.0,28.0,0.42,6.09,0.08,1.647,0.221,0.171,0.379,0.05,39.8
62,Kestur,425,Sand,Alfisols,Typic Paleustalfs,77.04995,12.58607,80.0,70.7,2.0,7.8,0.0,5.79,0.1,1.622,0.119,0.043,0.388,0.076,60.9
63,Kestur,425,Sandy Clay Loam,Alfisols,Typic Paleustalfs,77.04995,12.58607,80.0,66.3,4.8,22.8,0.3,6.0,0.13,1.606,0.221,0.139,0.394,0.082,65.9
64,Kestur,425,Sandy Clay Loam,Alfisols,Typic Paleustalfs,77.04995,12.58607,80.0,71.7,8.8,28.2,0.22,6.53,0.07,1.619,0.246,0.171,0.389,0.075,59.9
65,Modur,525,Sandy Clay,Alfisols,Rhodic Paleustalfs,76.72437,12.57129,90.0,57.0,3.8,39.0,0.47,5.95,0.17,1.542,0.34,0.237,0.418,0.103,92.4
66,Modur,525,Loamy Sand,Alfisols,Rhodic Paleustalfs,76.72437,12.57129,90.0,0.0,3.2,10.0,0.3,6.15,0.23,1.573,0.321,0.074,0.406,0.247,222.4
67,Modur,525,Sandy Clay,Alfisols,Rhodic Paleustalfs,76.72437,12.57129,90.0,49.6,6.8,43.0,0.23,5.92,0.17,1.505,0.37,0.258,0.432,0.112,100.5
68,Modur,525,Sandy Clay,Alfisols,Rhodic Paleustalfs,76.72437,12.57129,90.0,51.1,8.8,48.5,0.35,6.09,0.15,1.481,0.405,0.291,0.441,0.113,102.1
69,Nelsoge,572,Clay,Inceptisols,Aquic Haplustepts,77.02893,12.23488,90.0,23.1,16.2,58.0,0.44,8.55,0.12,1.287,0.461,0.341,0.514,0.12,107.9
70,Nelsoge,572,Clay,Inceptisols,Aquic Haplustepts,77.02893,12.23488,90.0,40.6,12.0,46.5,0.57,8.13,0.38,1.441,0.399,0.279,0.456,0.119,107.4
71,Nelsoge,572,Clay,Inceptisols,Aquic Haplustepts,77.02893,12.23488,90.0,43.5,10.5,44.8,0.31,9.43,0.72,1.469,0.386,0.268,0.446,0.117,105.6
72,Nelsoge,572,Clay,Inceptisols,Aquic Haplustepts,77.02893,12.23488,90.0,46.2,9.0,44.5,0.37,9.64,0.63,1.48,0.383,0.268,0.442,0.115,103.6
73,Ramapuram,603,Sandy Loam,Alfisols,Typic Haplustalfs,77.26209,12.31015,120.0,73.4,8.7,17.0,0.72,6.52,0.1,1.571,0.182,0.11,0.407,0.072,86.8
74,Ramapuram,603,Sandy Clay Loam,Alfisols,Typic Haplustalfs,77.26209,12.31015,120.0,59.4,16.5,30.0,0.69,6.51,0.08,1.557,0.284,0.186,0.412,0.097,116.7
75,Ramapuram,603,Sandy Clay,Alfisols,Typic Haplustalfs,77.26209,12.31015,120.0,46.1,14.8,38.2,0.57,6.5,0.07,1.499,0.348,0.232,0.434,0.115,138.2
76,Ramapuram,603,Clay,Alfisols,Typic Haplustalfs,77.26209,12.31015,120.0,41.9,9.5,47.8,0.39,6.92,0.07,1.443,0.405,0.286,0.455,0.119,142.4
77,Sigulahalli,659,Sandy Clay Loam,Inceptisols,Typic Haplustepts,76.87017,12.62047,105.0,15.0,10.0,25.0,0.03,8.3,0.13,1.527,0.327,0.153,0.424,0.174,182.9
78,Sigulahalli,659,Sandy Clay Loam,Inceptisols,Typic Haplustepts,76.87017,12.62047,105.0,59.0,13.0,28.0,0.28,8.5,0.09,1.587,0.266,0.17,0.401,0.095,100.0
79,Sigulahalli,659,Sandy Clay Loam,Inceptisols,Typic Haplustepts,76.87017,12.62047,105.0,67.0,11.0,22.0,0.12,8.6,0.06,1.622,0.212,0.132,0.388,0.08,83.8
80,Sigulahalli,659,Clay,Inceptisols,Typic Haplustepts,76.87017,12.62047,105.0,38.0,17.0,45.0,0.03,8.4,0.12,1.453,0.39,0.268,0.452,0.122,128.2
81,Bennane,91,Sandy Clay Loam,Inceptisols,Typic Haplustepts,77.25556,12.3293,155.0,65.5,9.0,25.5,1.2,6.48,0.24,1.537,0.256,0.166,0.42,0.09,139.7
82,Bennane,91,Sandy Clay Loam,Inceptisols,Typic Haplustepts,77.25556,12.3293,155.0,64.2,4.0,21.2,0.1,7.05,0.41,1.621,0.212,0.128,0.388,0.085,131.2
