FID,SoilSeries,SoilCode,Texture,Order,SubGroup,Centroid_Lon,Centroid_Lat,Depth_cm,Sand_pct,Silt_pct,Clay_pct,OrganicC_pct,pH,EC_dS_m,BulkDensity_g_cm3,FieldCapacity_vv,WiltingPoint_vv,Saturation_vv,PAW_vv,PAW_mm_profile
0,Edapalli,202,Sandy Loam,Entisols,Lithic Ustorthents,76.25209,12.09901,17.0,74.1,5.2,18.8,0.33,4.71,0.03,1.61,0.183,0.115,0.393,0.068,11.6
1,Chikkadevibetta,156,Sandy Loam,Entisols,Lithic Ustorthents,76.43134,11.95171,38.0,78.9,4.5,16.5,0.57,4.57,0.87,1.587,0.165,0.104,0.401,0.061,23.1
2,Chikkadevibetta,156,Sandy Loam,Entisols,Lithic Ustorthents,76.43134,11.95171,38.0,77.7,5.8,16.0,0.21,4.63,0.17,1.616,0.156,0.096,0.39,0.061,23.1
3,Enugadale,205,Loamy Sand,Inceptisols,Typic Haplustepts,76.46542,12.26082,40.0,82.0,7.0,11.0,0.33,6.5,0.06,1.585,0.121,0.067,0.402,0.054,21.7
4,Enugadale,205,Clay,Inceptisols,Typic Haplustepts,76.46542,12.26082,40.0,42.0,18.0,40.0,0.3,5.7,0.04,1.488,0.36,0.241,0.438,0.119,47.6
5,Muddinahundi,532,Sandy Clay Loam,Inceptisols,Lithic Haplargids,76.50408,12.08888,40.0,62.7,6.2,30.0,0.63,5.76,0.11,1.571,0.278,0.186,0.407,0.092,36.8
6,Muddinahundi,532,Clay,Inceptisols,Lithic Haplargids,76.50408,12.08888,40.0,42.2,10.0,46.0,0.51,5.81,0.11,1.452,0.395,0.276,0.452,0.118,47.3
7,Sargur,636,Clay,Entisols,Typic Ustorthents,76.30205,12.06306,45.0,36.4,11.8,50.0,0.78,6.77,2.65,1.401,0.419,0.299,0.471,0.12,54.1
8,Sargur,636,Clay,Entisols,Typic Ustorthents,76.30205,12.06306,45.0,40.2,10.5,47.2,0.51,6.25,2.33,1.436,0.403,0.283,0.458,0.12,53.8
9,Chittanahalli,172,Sandy Clay,Alfisols,Typic Rhodustalfs,76.63804,12.25484,69.0,48.4,9.5,42.0,0.6,7.7,0.11,1.493,0.368,0.255,0.437,0.113,77.8
