SoilCode,SoilCode_1,Horizon_Th,Min_Depth_,Max_Depth_,Sand_Perce,Silt_Perce,Clay_Perce,EC_dcpermi,Organic_Ca,Excha_Calc,Excha_Magn,Excha_Sodi,Excha_Pota,Cation_Exc,Base_Satur,Excha_So_1,Texture,pH,SoilCode_2,Groups,Sub_Groups,Family_Tex,Family_Min,Family_Tem,Orders,Sub_Orders,Sub_Soil_C,Surface_Te,Sub_Soil_G,Effervesce,Horizon,Soil_Depth,SoilCode_3,Soil_Serie,Shape_Leng,Shape_Area,area_km2
114,114,28.0,0.0,28.0,78.0,10.0,12.0,0.01,0.28,4.0,2.7,0.2,0.1,8.0,87.5,2.5,Loamy Sand,5.5,114,Ustorthents,Lithic Ustorthents,Sandy Skeletal,Mixed,Isohyperthermic,Entisols,Orthents,2.5YR3/4,Gravelly Loamy Sand,40,,A-C-R,25-50(28),114,Bisalahalli,1697391.14153,326140923.669,290.10277678576347
172,172,15.0,0.0,15.0,48.39,9.54,42.04,0.11,0.6,13.25,5.5,0.66,0.04,25.92,75.04,2.55,Sandy Clay,7.7,172,Rhodustalfs,Typic Rhodustalfs,Fine,Mixed,Isohyperthermic,Alfisols,Ustalfs,2.5YR3/6,Sandy Clay,20,,Ap-Bt,50-75(69),172,Chittanahalli,1686455.76288,351848406.314,189.44552913020755
172,172,23.0,15.0,38.0,47.59,10.25,39.75,0.08,0.54,21.25,5.5,0.67,0.16,32.64,84.5,2.05,Sandy Clay,7.68,172,Rhodustalfs,Typic Rhodustalfs,Fine,Mixed,Isohyperthermic,Alfisols,Ustalfs,2.5YR3/6,Sandy Clay,20,,Ap-Bt,50-75(69),172,Chittanahalli,1686455.76288,351848406.314,189.44552913020755
172,172,31.0,38.0,69.0,42.78,6.75,47.5,0.1,0.48,23.0,7.5,0.93,0.11,33.6,93.87,2.77,Clay,7.54,172,Rhodustalfs,Typic Rhodustalfs,Fine,Mixed,Isohyperthermic,Alfisols,Ustalfs,2.5YR3/6,Sandy Clay,20,,Ap-Bt,50-75(69),172,Chittanahalli,1686455.76288,351848406.314,189.44552913020755
616,616,16.0,18.0,34.0,71.3,9.6,19.1,0.4,0.41,0.0,0.0,0.0,0.0,14.1,0.0,0.0,Sandy Loam,7.8,616,Ustifluvents,Typic Ustifluvents,Fine Loamy,Mixed,Isohyperthermic,Entisols,Fluvents,"10YR5/2, 5/4, 7.5YR 4/4",Clay Loam,10-25,Strong,Ap-A3-2c2,100- 150 (145),616,Roppam,4018446.80916,492016463.657,420.93287141606345
616,616,18.0,0.0,18.0,71.3,10.4,18.3,0.1,0.75,0.0,0.0,0.0,0.0,12.2,0.0,0.0,Sandy Loam,6.6,616,Ustifluvents,Typic Ustifluvents,Fine Loamy,Mixed,Isohyperthermic,Entisols,Fluvents,"10YR5/2, 5/4, 7.5YR 4/4",Clay Loam,10-25,Strong,Ap-A3-2c2,100- 150 (145),616,Roppam,4018446.80916,492016463.657,420.93287141606345
616,616,32.0,113.0,145.0,72.2,6.3,21.5,0.5,0.26,0.0,0.0,0.0,0.0,15.3,0.0,0.0,Sandy Clay Loam,8.4,616,Ustifluvents,Typic Ustifluvents,Fine Loamy,Mixed,Isohyperthermic,Entisols,Fluvents,"10YR5/2, 5/4, 7.5YR 4/4",Clay Loam,10-25,Strong,Ap-A3-2c2,100- 150 (145),616,Roppam,4018446.80916,492016463.657,420.93287141606345
616,616,33.0,80.0,113.0,64.6,8.4,27.0,0.22,0.41,0.0,0.0,0.0,0.0,17.5,0.0,0.0,Sandy Clay Loam,8.8,616,Ustifluvents,Typic Ustifluvents,Fine Loamy,Mixed,Isohyperthermic,Entisols,Fluvents,"10YR5/2, 5/4, 7.5YR 4/4",Clay Loam,10-25,Strong,Ap-A3-2c2,100- 150 (145),616,Roppam,4018446.80916,492016463.657,420.93287141606345
616,616,46.0,34.0,80.0,71.7,8.9,19.4,0.2,0.29,0.0,0.0,0.0,0.0,13.9,0.0,0.0,Sandy Loam,8.5,616,Ustifluvents,Typic Ustifluvents,Fine Loamy,Mixed,Isohyperthermic,Entisols,Fluvents,"10YR5/2, 5/4, 7.5YR 4/4",Clay Loam,10-25,Strong,Ap-A3-2c2,100- 150 (145),616,Roppam,4018446.80916,492016463.657,420.93287141606345
54,54,11.0,0.0,11.0,74.06,7.5,17.95,0.12,0.45,9.12,4.25,0.43,0.52,16.8,83.01,0.0,Sandy Loam,6.6,54,Haplustalfs,Typic Haplustalfs,Fine,Mixed,Isohyperthermic,Alfisols,Ustalfs,"5YR4/4, 4/6, 2.5YR 3/4, 3/6, 4/6, 7.5YR 5/6, 4/4",Sandy Loam,,,Ap-Bt-Crk,50-75(67),54,Ballasamudra,4100853.43563,787997919.306,444.50802813645606
