SoilCode,SoilCode_1,Horizon_Th,Min_Depth_,Max_Depth_,Sand_Perce,Silt_Perce,Clay_Perce,EC_dcpermi,Organic_Ca,Excha_Calc,Excha_Magn,Excha_Sodi,Excha_Pota,Cation_Exc,Base_Satur,Excha_So_1,Texture,pH,SoilCode_2,Groups,Sub_Groups,Family_Tex,Family_Min,Family_Tem,Orders,Sub_Orders,Sub_Soil_C,Surface_Te,Sub_Soil_G,Effervesce,Horizon,Soil_Depth,SoilCode_3,Soil_Serie,Shape_Leng,Shape_Area,area_km2
202,202,17.0,0.0,17.0,74.08,5.25,18.75,0.03,0.33,8.48,2.8,0.24,0.64,13.25,91.77,1.81,Sandy Loam,4.71,202,Ustorthents,Lithic Ustorthents,Loamy,Mixed,Isohyperthermic,Entisols,Orthents,10YR4/4,Sandy Loam,,,A-Cr,10-25(17),202,Edapalli,1181377.7239,230463432.826,61.79004919287804
156,156,16.0,0.0,16.0,78.89,4.5,16.5,0.87,0.57,5.4,0.08,0.25,3.96,10.8,89.72,0.74,Sandy Loam,4.57,156,Ustorthents,Lithic Ustorthents,Loamy Skeletal,Mixed,Isohyperthermic,Entisols,Orthents,7.5YR3/3,Sandy Loam,80,,A-AC-R,25-50(38),156,Chikkadevibetta,291760.878068,96405961.1271,53.14800300100295
156,156,22.0,16.0,38.0,77.66,5.75,16.0,0.17,0.21,5.04,0.09,0.2,3.6,11.5,77.65,0.78,Sandy Loam,4.63,156,Ustorthents,Lithic Ustorthents,Loamy Skeletal,Mixed,Isohyperthermic,Entisols,Orthents,7.5YR3/3,Sandy Loam,80,,A-AC-R,25-50(38),156,Chikkadevibetta,291760.878068,96405961.1271,53.14800300100295
205,205,15.0,0.0,15.0,82.0,7.0,11.0,0.06,0.33,3.5,3.0,0.5,0.1,8.0,88.75,6.25,Loamy Sand,6.5,205,Haplustepts,Typic Haplustepts,Clayey Skeletal,Mixed,Isohyperthermic,Inceptisols,Ustepts,5YR4/4,Loamy Sand,35,,Ap-Bw-Cr,25-50(40),205,Enugadale,3921894.77549,845534917.379,612.9967602286644
205,205,25.0,15.0,40.0,42.0,18.0,40.0,0.04,0.3,12.3,5.3,1.3,0.6,25.0,78.0,5.2,Clay,5.7,205,Haplustepts,Typic Haplustepts,Clayey Skeletal,Mixed,Isohyperthermic,Inceptisols,Ustepts,5YR4/4,Loamy Sand,35,,Ap-Bw-Cr,25-50(40),205,Enugadale,3921894.77549,845534917.379,612.9967602286644
532,532,18.0,0.0,18.0,62.71,6.25,30.0,0.11,0.63,9.25,3.0,0.28,0.21,15.36,82.94,1.37,Sandy Clay Loam,5.76,532,Haplustepts,Lithic Haplargids,Clayey,Mixed,Isohyperthermic,Inceptisols,Ustepts,"7.5YR3/4,3/6,5YR3/4",Sandy Clay Loam,,,Ap-Bw-R,25-50(40),532,Muddinahundi,1819733.12135,461995778.553,98.91989202634655
532,532,22.0,18.0,40.0,42.2,10.0,46.0,0.11,0.51,9.5,2.0,0.38,0.19,14.72,82.0,1.29,Clay,5.81,532,Haplustepts,Lithic Haplargids,Clayey,Mixed,Isohyperthermic,Inceptisols,Ustepts,"7.5YR3/4,3/6,5YR3/4",Sandy Clay Loam,,,Ap-Bw-R,25-50(40),532,Muddinahundi,1819733.12135,461995778.553,98.91989202634655
636,636,14.0,0.0,14.0,36.39,11.75,50.0,2.65,0.78,33.12,11.16,0.16,0.54,46.5,96.73,0.34,Clay,6.77,636,Ustorthents,Typic Ustorthents,Clayey,Mixed,Isohyperthermic,Entisols,Orthents,"10YR3/2,5YR3/3",Clay,5,,Ap-AC-Cr,25-50(45),636,Sargur,1287338.49698,402022618.595,350.95843631348225
636,636,31.0,14.0,45.0,40.22,10.5,47.25,2.33,0.51,15.48,5.76,0.17,0.16,22.5,95.87,0.76,Clay,6.25,636,Ustorthents,Typic Ustorthents,Clayey,Mixed,Isohyperthermic,Entisols,Orthents,"10YR3/2,5YR3/3",Clay,5,,Ap-AC-Cr,25-50(45),636,Sargur,1287338.49698,402022618.595,350.95843631348225
172,172,15.0,0.0,15.0,48.39,9.54,42.04,0.11,0.6,13.25,5.5,0.66,0.04,25.92,75.04,2.55,Sandy Clay,7.7,172,Rhodustalfs,Typic Rhodustalfs,Fine,Mixed,Isohyperthermic,Alfisols,Ustalfs,2.5YR3/6,Sandy Clay,20,,Ap-Bt,50-75(69),172,Chittanahalli,1686455.76288,351848406.314,30.801894451813116
