CLOUDY_PIXEL_PERCENTAGE,CLOUD_COVER,MGRS_TILE,WRS_PATH,WRS_ROW,date,id,orbitProperties_pass,relativeOrbitNumber_start,season,sensor
32.53538,,43PFQ,,,2024-06-01,20240601T050649_20240601T051727_T43PFQ,,,kharif_2024,Sentinel-2
55.365771,,43PGP,,,2024-06-01,20240601T050649_20240601T051727_T43PGP,,,kharif_2024,Sentinel-2
10.50404,,43PGQ,,,2024-06-01,20240601T050649_20240601T051727_T43PGQ,,,kharif_2024,Sentinel-2
48.864922,,43PEP,,,2024-06-04,20240604T051649_20240604T052821_T43PEP,,,kharif_2024,Sentinel-2
37.03073,,43PFP,,,2024-06-04,20240604T051649_20240604T052821_T43PFP,,,kharif_2024,Sentinel-2
47.423002,,43PFQ,,,2024-06-04,20240604T051649_20240604T052821_T43PFQ,,,kharif_2024,Sentinel-2
7.481776,,43PGP,,,2024-06-04,20240604T051649_20240604T052821_T43PGP,,,kharif_2024,Sentinel-2
57.221031,,43PGP,,,2024-06-14,20240614T051659_20240614T053108_T43PGP,,,kharif_2024,Sentinel-2
43.093374,,43PFP,,,2024-06-16,20240616T050701_20240616T051417_T43PFP,,,kharif_2024,Sentinel-2
26.371074,,43PGP,,,2024-06-16,20240616T050701_20240616T051417_T43PGP,,,kharif_2024,Sentinel-2
46.815675,,43PGQ,,,2024-06-16,20240616T050701_20240616T051417_T43PGQ,,,kharif_2024,Sentinel-2
56.704372,,43PEP,,,2024-06-19,20240619T051701_20240619T053342_T43PEP,,,kharif_2024,Sentinel-2
52.377659,,43PGP,,,2024-06-19,20240619T051701_20240619T053342_T43PGP,,,kharif_2024,Sentinel-2
51.48254,,43PGP,,,2024-08-10,20240810T050659_20240810T052053_T43PGP,,,kharif_2024,Sentinel-2
42.337558,,43PEP,,,2024-08-13,20240813T051659_20240813T053058_T43PEP,,,kharif_2024,Sentinel-2
44.449261,,43PFN,,,2024-08-13,20240813T051659_20240813T053058_T43PFN,,,kharif_2024,Sentinel-2
43.8218,,43PGP,,,2024-08-13,20240813T051659_20240813T053058_T43PGP,,,kharif_2024,Sentinel-2
50.547677,,43PGQ,,,2024-08-13,20240813T051659_20240813T053058_T43PGQ,,,kharif_2024,Sentinel-2
58.422464,,43PFP,,,2024-08-15,20240815T050651_20240815T051557_T43PFP,,,kharif_2024,Sentinel-2
53.87311,,43PGP,,,2024-08-15,20240815T050651_20240815T051557_T43PGP,,,kharif_2024,Sentinel-2
