end,n_sentinel1,n_sentinel2,season,start,status,window
2024-06-09,2,7,kharif_2024,2024-06-01,OK,1
2024-06-17,2,4,kharif_2024,2024-06-09,OK,2
2024-06-25,0,2,kharif_2024,2024-06-17,OK,3
2024-07-03,2,0,kharif_2024,2024-06-25,SAR-only,4
2024-07-11,2,0,kharif_2024,2024-07-03,SAR-only,5
2024-07-19,0,0,kharif_2024,2024-07-11,EMPTY,6
2024-07-27,2,0,kharif_2024,2024-07-19,SAR-only,7
2024-08-04,2,0,kharif_2024,2024-07-27,SAR-only,8
2024-08-12,0,1,kharif_2024,2024-08-04,OK,9
2024-08-20,2,8,kharif_2024,2024-08-12,OK,10
2024-08-28,2,3,kharif_2024,2024-08-20,OK,11
2024-09-05,0,1,kharif_2024,2024-08-28,OK,12
2024-09-13,2,3,kharif_2024,2024-09-05,OK,13
2024-09-21,2,9,kharif_2024,2024-09-13,OK,14
2024-09-29,0,1,kharif_2024,2024-09-21,OK,15
2024-10-07,2,7,kharif_2024,2024-09-29,OK,16
2024-10-15,2,2,kharif_2024,2024-10-07,OK,17
2024-10-23,0,2,kharif_2024,2024-10-15,OK,18
2024-10-31,2,10,kharif_2024,2024-10-23,OK,19
2024-11-08,2,16,kharif_2024,2024-10-31,OK,20
2024-11-16,0,10,kharif_2024,2024-11-08,OK,21
2024-11-24,2,7,kharif_2024,2024-11-16,OK,22
2024-11-30,2,4,kharif_2024,2024-11-24,OK,23
