end,n_sentinel1,n_sentinel2,season,start,status,window
2025-06-09,0,10,kharif_2025,2025-06-01,OK,1
2025-06-17,2,4,kharif_2025,2025-06-09,OK,2
2025-06-25,2,0,kharif_2025,2025-06-17,SAR-only,3
2025-07-03,0,0,kharif_2025,2025-06-25,EMPTY,4
2025-07-11,2,0,kharif_2025,2025-07-03,SAR-only,5
2025-07-19,2,1,kharif_2025,2025-07-11,OK,6
2025-07-27,0,0,kharif_2025,2025-07-19,EMPTY,7
2025-08-04,2,1,kharif_2025,2025-07-27,OK,8
2025-08-12,2,0,kharif_2025,2025-08-04,SAR-only,9
2025-08-20,0,0,kharif_2025,2025-08-12,EMPTY,10
2025-08-28,2,0,kharif_2025,2025-08-20,SAR-only,11
2025-09-05,2,0,kharif_2025,2025-08-28,SAR-only,12
2025-09-13,0,1,kharif_2025,2025-09-05,OK,13
2025-09-21,2,0,kharif_2025,2025-09-13,SAR-only,14
2025-09-29,2,0,kharif_2025,2025-09-21,SAR-only,15
2025-10-07,0,3,kharif_2025,2025-09-29,OK,16
2025-10-15,2,19,kharif_2025,2025-10-07,OK,17
2025-10-23,2,2,kharif_2025,2025-10-15,OK,18
2025-10-31,0,0,kharif_2025,2025-10-23,EMPTY,19
2025-11-08,2,14,kharif_2025,2025-10-31,OK,20
2025-11-16,2,14,kharif_2025,2025-11-08,OK,21
2025-11-24,0,12,kharif_2025,2025-11-16,OK,22
2025-11-30,2,5,kharif_2025,2025-11-24,OK,23
