end,n_sentinel1,n_sentinel2,season,start,status,window
2023-11-09,0,4,rabi_2023_24,2023-11-01,OK,1
2023-11-17,1,0,rabi_2023_24,2023-11-09,SAR-only,2
2023-11-25,1,8,rabi_2023_24,2023-11-17,OK,3
2023-12-03,0,1,rabi_2023_24,2023-11-25,OK,4
2023-12-11,1,3,rabi_2023_24,2023-12-03,OK,5
2023-12-19,1,4,rabi_2023_24,2023-12-11,OK,6
2023-12-27,0,10,rabi_2023_24,2023-12-19,OK,7
2024-01-04,1,7,rabi_2023_24,2023-12-27,OK,8
2024-01-12,1,8,rabi_2023_24,2024-01-04,OK,9
2024-01-20,0,9,rabi_2023_24,2024-01-12,OK,10
2024-01-28,1,12,rabi_2023_24,2024-01-20,OK,11
2024-02-05,1,12,rabi_2023_24,2024-01-28,OK,12
2024-02-13,0,16,rabi_2023_24,2024-02-05,OK,13
2024-02-21,1,12,rabi_2023_24,2024-02-13,OK,14
2024-02-28,0,12,rabi_2023_24,2024-02-21,OK,15
